"Name","State","Notes","User","Tags","Created","Runtime","Sweep","activation","batch_size","dropout_rate","embedding","focal_gamma","l1_lambda","label_smoothing","learning_rate","loss_reduction","loss_type","lr_scheduler","method","metric.goal","metric.name","model_dim","norm_first","num_encoder_layers","num_heads","optimizer","parameters.activations","parameters.batch_sizes","parameters.dropout_rates","parameters.embeddings","parameters.focal_gammas","parameters.l1_lambdas","parameters.label_smoothings","parameters.learning_rates","parameters.loss_reductions","parameters.loss_types","parameters.lr_schedulers","parameters.model_dims","parameters.norm_firsts","parameters.num_encoder_layerss","parameters.num_headss","parameters.optimizers","parameters.pooling_types","parameters.pos_encoding_scalings","parameters.weight_decays","pooling_type","pos_encoding_scaling","weight_decay","best_model_path","train/accuracy","train/f1_macro","train/f1_weighted","train/loss","train/precision_macro","train/precision_weighted","train/recall_macro","train/recall_weighted","val/accuracy","val/f1_score_macro","val/f1_score_weighted","val/loss","val/precision_macro","val/precision_weighted","val/recall_macro","val/recall_weighted"
"amber-sweep-80","finished","-","","","2025-02-06T18:29:14.000Z","17739","ye0zge1d","gelu","128","0.4","true","0","0.00001","0.1","0.00001","mean","focal","CosineAnnealingLR","","","","512","true","6","16","adamw","","","","","","","","","","","","","","","","","","","","cls","1","0.01","models/amber-sweep-80_nnycwidk/model_epoch_27_loss_0.9359.pt","0.972663185695392","0.6753339541121227","0.973662877824042","0.5412259334023448","0.6676146562339886","0.9755321070003768","0.7075437362500853","0.972663185695392","0.931295193753734","0.645715923992537","0.9357096075870966","0.653884311883073","0.6689342487121469","0.962600240016336","0.6809376283171127","0.931295193753734"
"ruby-sweep-79","finished","-","","","2025-02-06T18:14:12.000Z","896","ye0zge1d","gelu","256","0.1","true","3","0","0.1","0.0001","mean","focal","CosineAnnealingLR","","","","512","false","1","2","adam","","","","","","","","","","","","","","","","","","","","cls","1","0.1","models/ruby-sweep-79_c2nxosfg/model_epoch_0_loss_0.7391.pt","0.5971065605927628","0.04663542540531762","0.4825546435839146","0.5337146886202119","0.04188417595754631","0.4251118778045404","0.06072053884156909","0.5971065605927628","0.5492676294266703","0.03802079200965897","0.4569691466049993","0.5723687004101904","0.032321538003897046","0.4096955830450968","0.05894777106171981","0.5492676294266703"
"rosy-sweep-78","finished","-","","","2025-02-06T16:28:23.000Z","6343","ye0zge1d","relu","256","0.1","true","3","0.00001","0.05","0.00001","mean","focal","CosineAnnealingLR","","","","512","true","4","4","adam","","","","","","","","","","","","","","","","","","","","cls","1","0.01","models/rosy-sweep-78_0faixzao/model_epoch_12_loss_0.9365.pt","0.9695246492402396","0.533029902896768","0.968434462351446","0.050553633163318686","0.5703407809220327","0.9687836843960388","0.5325314288065987","0.9695246492402396","0.9299149172864176","0.4957846086295811","0.9320396157027552","0.10029130383933846","0.52424827836497","0.9548585037014448","0.5123155489144023","0.9299149172864176"
"resilient-sweep-77","finished","-","","","2025-02-06T15:54:54.000Z","2004","ye0zge1d","gelu","64","0.3","true","2","0","0.01","0.0001","mean","focal","ReduceLROnPlateau","","","","256","false","6","4","adam","","","","","","","","","","","","","","","","","","","","cls","1","0.01","models/resilient-sweep-77_jza4znpf/model_epoch_0_loss_0.8725.pt","0.4206164635650701","0.03393016990092172","0.3197851111973495","0.4122961258619839","0.03325280143632176","0.28614036985786134","0.044217761479527454","0.4206164635650701","0.4798417832347912","0.03691016310593499","0.37063834218301256","0.45725475497082446","0.029820593066556208","0.3087694850636099","0.05978110427346367","0.4798417832347912"
"swept-sweep-76","finished","-","","","2025-02-06T14:07:56.000Z","6409","ye0zge1d","gelu","256","0.2","true","0","0","0.05","0.000001","mean","focal","CosineAnnealingLR","","","","512","false","1","8","adamw","","","","","","","","","","","","","","","","","","","","mean","1","0","models/swept-sweep-76_qhqhffve/model_epoch_48_loss_0.9396.pt","0.9681252502537928","0.6531132570126643","0.9698665651363252","0.3211468529750595","0.6247430103105827","0.9729704285772942","0.7023947056967154","0.9681252502537928","0.9339939432644568","0.6564992668429165","0.9395041714281052","0.3810089429742411","0.6612830128567884","0.9622232979423162","0.7093425756653465","0.9339939432644568"
"cool-sweep-75","finished","-","","","2025-02-06T13:47:41.000Z","1209","ye0zge1d","relu","256","0.2","true","1","0.00001","0","0.001","mean","focal","CosineAnnealingLR","","","","256","true","1","16","adam","","","","","","","","","","","","","","","","","","","","mean","1","0","models/cool-sweep-75_ac4jxig9/model_epoch_9_loss_0.9569.pt","0.9812254043494616","0.8358793853567325","0.9819167014435742","0.012269848869261708","0.8135388269858284","0.983308347512788","0.8679099762875732","0.9812254043494616","0.9523701613069364","0.8260679540911859","0.9553431324516888","0.08066864051905118","0.8401402392025196","0.976386181121634","0.8567533099624094","0.9523701613069364"
"amber-sweep-74","finished","-","","","2025-02-06T12:54:49.000Z","3168","ye0zge1d","gelu","128","0.3","true","1","0.00001","0.01","0.000001","mean","focal","ReduceLROnPlateau","","","","256","false","4","16","adam","","","","","","","","","","","","","","","","","","","","cls","1","0.1","models/amber-sweep-74_6hml27ls/model_epoch_10_loss_0.5004.pt","0.2757746239620787","0.03697204014985405","0.2874273453150998","0.467230775680848","0.03866566196190235","0.30920196125234456","0.03801196003238405","0.2757746239620787","0.4948188129622381","0.03813252532864011","0.37847276370693506","0.4551644623279571","0.03176261561145952","0.3148706851764665","0.05845720863067938","0.4948188129622381"
"blooming-sweep-73","finished","-","","","2025-02-06T12:34:03.000Z","1241","ye0zge1d","relu","64","0.4","true","3","0.0001","0.01","0.0001","mean","focal","CosineAnnealingLR","","","","512","false","1","4","adam","","","","","","","","","","","","","","","","","","","","mean","1","0.01","models/blooming-sweep-73_v79yiv1q/model_epoch_0_loss_0.8588.pt","0.4716743040416746","0.05355210105968091","0.3959698932749058","0.37878686085142826","0.06038659769430071","0.36635415337852134","0.059930506860916416","0.4716743040416746","0.6337323087699058","0.06730230481102432","0.5284573106143075","0.3701344627361838","0.06503098918467175","0.48638455221718063","0.09258121323413653","0.6337323087699058"
"faithful-sweep-72","finished","-","","","2025-02-06T08:35:20.000Z","14320","ye0zge1d","relu","64","0.3","true","3","0.00001","0.2","0.000001","mean","focal","ReduceLROnPlateau","","","","256","true","5","8","adamw","","","","","","","","","","","","","","","","","","","","mean","1","0.1","models/faithful-sweep-72_v6c9lsk6/model_epoch_53_loss_0.9491.pt","0.978754211341603","0.6278966494286682","0.9778166454170046","0.04123962639916751","0.656393599770625","0.9776124370196488","0.6231079890611151","0.978754211341603","0.946189818915968","0.5767988110421578","0.9481679894615938","0.15118470276852092","0.6005800806698951","0.9672179984529466","0.5923334641604118","0.946189818915968"
"confused-sweep-71","finished","-","","","2025-02-06T07:45:22.000Z","2994","ye0zge1d","gelu","64","0.4","true","3","0.00001","0.01","0.0001","mean","focal","ReduceLROnPlateau","","","","512","true","4","8","adam","","","","","","","","","","","","","","","","","","","","mean","1","0.01","models/confused-sweep-71_q6bhuog2/model_epoch_0_loss_0.8718.pt","0.5986920068433037","0.08057623830463266","0.5205730381754331","0.3627196054435171","0.09377192274087326","0.4918542612620124","0.08506748702789535","0.5986920068433037","0.7119960445808697","0.1298677915260947","0.639014275750748","0.3496801739310716","0.13596404356200953","0.6244094362335365","0.15383491863340149","0.7119960445808697"
